ArtistName,SongName,SongExplicit
Taylor Swift,I Knew You Were Trouble.,False
Taylor Swift,All Too Well,False
Taylor Swift,22,False
Taylor Swift,I Almost Do,False
Taylor Swift,We Are Never Ever Getting Back Together,False
Taylor Swift,Stay Stay Stay,False
Taylor Swift,The Last Time,False
Taylor Swift,Holy Ground,False
Taylor Swift,Sad Beautiful Tragic,False
Taylor Swift,The Lucky One,False
Taylor Swift,Everything Has Changed,False
Taylor Swift,Starlight,False
Taylor Swift,Begin Again,False
Taylor Swift,The Moment I Knew,False
Taylor Swift,Come Back...Be Here,False
Taylor Swift,Girl At Home,False
Taylor Swift,Treacherous - Original Demo Recording,False
Taylor Swift,Red - Original Demo Recording,False
Taylor Swift,State Of Grace - Acoustic Version,False
Taylor Swift,State Of Grace,False
Taylor Swift,Red,False
Taylor Swift,Treacherous,False
Taylor Swift,I Knew You Were Trouble.,False
Taylor Swift,All Too Well,False
Taylor Swift,22,False
Taylor Swift,I Almost Do,False
Taylor Swift,We Are Never Ever Getting Back Together,False
Taylor Swift,Stay Stay Stay,False
Taylor Swift,The Last Time,False
Taylor Swift,Holy Ground,False
Taylor Swift,Sad Beautiful Tragic,False
Taylor Swift,The Lucky One,False
Taylor Swift,Everything Has Changed,False
Taylor Swift,Starlight,False
Taylor Swift,Begin Again,False
Taylor Swift,State Of Grace - Instrumental With Background Vocals,False
Taylor Swift,Red - Instrumental With Background Vocals,False
Taylor Swift,Treacherous - Instrumental With Background Vocals,False
Taylor Swift,I Knew You Were Trouble. - Instrumental With Background Vocals,False
Taylor Swift,All Too Well - Instrumental With Background Vocals,False
Taylor Swift,22 - Instrumental With Background Vocals,False
Taylor Swift,I Almost Do - Instrumental With Background Vocals,False
Taylor Swift,We Are Never Ever Getting Back Together - Instrumental With Background Vocals,False
Taylor Swift,Stay Stay Stay - Instrumental With Background Vocals,False
Taylor Swift,The Last Time - Instrumental With Background Vocals,False
Taylor Swift,Holy Ground - Instrumental With Background Vocals,False
Taylor Swift,Sad Beautiful Tragic - Instrumental With Background Vocals,False
Taylor Swift,The Lucky One - Instrumental With Background Vocals,False
Taylor Swift,Everything Has Changed - Instrumental With Background Vocals,False
Taylor Swift,Starlight - Instrumental With Background Vocals,False
Taylor Swift,Begin Again - Instrumental With Background Vocals,False
Taylor Swift,State Of Grace - Commentary,False
Taylor Swift,State Of Grace,False
Taylor Swift,Red - Commentary,False
Taylor Swift,Red,False
Taylor Swift,Treacherous - Commentary,False
Taylor Swift,Treacherous,False
Taylor Swift,I Knew You Were Trouble. - Commentary,False
Taylor Swift,I Knew You Were Trouble.,False
Taylor Swift,All Too Well - Commentary,False
Taylor Swift,All Too Well,False
Taylor Swift,22 - Commentary,False
Taylor Swift,22,False
Taylor Swift,I Almost Do - Commentary,False
Taylor Swift,I Almost Do,False
Taylor Swift,We Are Never Ever Getting Back Together - Commentary,False
Taylor Swift,We Are Never Ever Getting Back Together,False
Taylor Swift,Stay Stay Stay - Commentary,False
Taylor Swift,Stay Stay Stay,False
Taylor Swift,The Last Time - Commentary,False
Taylor Swift,The Last Time,False
Taylor Swift,Holy Ground - Commentary,False
Taylor Swift,Holy Ground,False
Taylor Swift,Sad Beautiful Tragic - Commentary,False
Taylor Swift,Sad Beautiful Tragic,False
Taylor Swift,The Lucky One - Commentary,False
Taylor Swift,The Lucky One,False
Taylor Swift,Everything Has Changed - Commentary,False
Taylor Swift,Everything Has Changed,False
Taylor Swift,Starlight - Commentary,False
Taylor Swift,Starlight,False
Taylor Swift,Begin Again - Commentary,False
Taylor Swift,Begin Again,False
Taylor Swift,Sparks Fly - Live/2011,False
Taylor Swift,Mine - Live/2011,False
Taylor Swift,The Story Of Us - Live/2011,False
Taylor Swift,Mean - Live/2011,False
Taylor Swift,Ours - Live/2011,False
Taylor Swift,Back To December/Apologize/You're Not Sorry - Live/2011/Medley,False
Taylor Swift,Better Than Revenge - Live/2011,False
Taylor Swift,Speak Now - Live/2011,False
Taylor Swift,Last Kiss - Live/2011,False
Taylor Swift,Drops Of Jupiter - Live/2011,False
Taylor Swift,Bette Davis Eyes - Live/2011,False
Taylor Swift,I Want You Back - Live/2011,False
Taylor Swift,Dear John - Live/2011,False
Taylor Swift,Enchanted - Live/2011,False
Taylor Swift,Haunted - Live/2011,False
Taylor Swift,Long Live - Live/2011,False
Taylor Swift,Mine,False
Taylor Swift,Sparks Fly,False
Taylor Swift,Back To December,False
Taylor Swift,Speak Now,False
Taylor Swift,Dear John,False
Taylor Swift,Mean,False
Taylor Swift,The Story Of Us,False
Taylor Swift,Never Grow Up,False
Taylor Swift,Enchanted,False
Taylor Swift,Better Than Revenge,False
Taylor Swift,Innocent,False
Taylor Swift,Haunted,False
Taylor Swift,Last Kiss,False
Taylor Swift,Long Live,False
Taylor Swift,Mine - Instrumental With Background Vocals,False
Taylor Swift,Sparks Fly - Instrumental With Background Vocals,False
Taylor Swift,Back To December - Instrumental With Background Vocals,False
Taylor Swift,Speak Now - Instrumental With Background Vocals,False
Taylor Swift,Dear John - Instrumental With Background Vocals,False
Taylor Swift,Mean - Instrumental With Background Vocals,False
Taylor Swift,The Story Of Us - Instrumental With Background Vocals,False
Taylor Swift,Never Grow Up - Instrumental With Background Vocals,False
Taylor Swift,Enchanted - Instrumental With Background Vocals,False
Taylor Swift,Better Than Revenge - Instrumental With Background Vocals,False
Taylor Swift,Innocent - Instrumental With Background Vocals,False
Taylor Swift,Haunted - Instrumental With Background Vocals,False
Taylor Swift,Last Kiss - Instrumental With Background Vocals,False
Taylor Swift,Long Live - Instrumental With Background Vocals,False
Taylor Swift,Mine - Commentary,False
Taylor Swift,Mine,False
Taylor Swift,Sparks Fly - Commentary,False
Taylor Swift,Sparks Fly,False
Taylor Swift,Back To December - Commentary,False
Taylor Swift,Back To December,False
Taylor Swift,Speak Now - Commentary,False
Taylor Swift,Speak Now,False
Taylor Swift,Dear John - Commentary,False
Taylor Swift,Dear John,False
Taylor Swift,Mean - Commentary,False
Taylor Swift,Mean,False
Taylor Swift,The Story Of Us - Commentary,False
Taylor Swift,The Story Of Us,False
Taylor Swift,Never Grow Up - Commentary,False
Taylor Swift,Never Grow Up,False
Taylor Swift,Enchanted - Commentary,False
Taylor Swift,Enchanted,False
Taylor Swift,Better Than Revenge - Commentary,False
Taylor Swift,Better Than Revenge,False
Taylor Swift,Innocent - Commentary,False
Taylor Swift,Innocent,False
Taylor Swift,Haunted - Commentary,False
Taylor Swift,Haunted,False
Taylor Swift,Last Kiss - Commentary,False
Taylor Swift,Last Kiss,False
Taylor Swift,Long Live - Commentary,False
Taylor Swift,Long Live,False
Taylor Swift,Mine,False
Taylor Swift,Sparks Fly,False
Taylor Swift,Back To December,False
Taylor Swift,Speak Now,False
Taylor Swift,Dear John,False
Taylor Swift,Mean,False
Taylor Swift,The Story Of Us,False
Taylor Swift,Never Grow Up,False
Taylor Swift,Enchanted,False
Taylor Swift,Better Than Revenge,False
Taylor Swift,Innocent,False
Taylor Swift,Haunted,False
Taylor Swift,Last Kiss,False
Taylor Swift,Long Live,False
Taylor Swift,Ours,False
Taylor Swift,If This Was A Movie,False
Taylor Swift,Superman,False
Taylor Swift,Back To December - Acoustic Version,False
Taylor Swift,Haunted - Acoustic Version,False
Taylor Swift,Mine - POP Mix,False
Taylor Swift,Fearless,False
Taylor Swift,Fifteen,False
Taylor Swift,Love Story,False
Taylor Swift,Hey Stephen,False
Taylor Swift,White Horse,False
Taylor Swift,You Belong With Me,False
Taylor Swift,Breathe,False
Taylor Swift,Tell Me Why,False
Taylor Swift,You're Not Sorry,False
Taylor Swift,The Way I Loved You,False
Taylor Swift,Forever & Always,False
Taylor Swift,The Best Day,False
Taylor Swift,Change,False
Taylor Swift,Fearless - Instrumental with BGV,False
Taylor Swift,Fifteen - Instrumental with BGV,False
Taylor Swift,Love Story - Instrumental with BGV,False
Taylor Swift,Hey Stephen - Instrumental with BGV,False
Taylor Swift,White Horse - Instrumental with BGV,False
Taylor Swift,You Belong With Me - Instrumental with BGV,False
Taylor Swift,"Breathe - Instrumental only, no BV",False
Taylor Swift,Tell Me Why - Instrumental with BGV,False
Taylor Swift,You're Not Sorry - Instrumental with BGV,False
Taylor Swift,The Way I Loved You - Instrumental with BGV,False
Taylor Swift,Forever & Always - Instrumental with BGV,False
Taylor Swift,The Best Day - Instrumental with BGV,False
Taylor Swift,Change - Instrumental with BGV,False
Taylor Swift,Jump Then Fall,False
Taylor Swift,Untouchable,False
Taylor Swift,Forever & Always - Piano Version,False
Taylor Swift,Come In With The Rain,False
Taylor Swift,SuperStar,False
Taylor Swift,The Other Side Of The Door,False
Taylor Swift,Fearless,False
Taylor Swift,Fifteen,False
Taylor Swift,Love Story,False
Taylor Swift,Hey Stephen,False
Taylor Swift,White Horse,False
Taylor Swift,You Belong With Me,False
Taylor Swift,Breathe,False
Taylor Swift,Tell Me Why,False
Taylor Swift,You're Not Sorry,False
Taylor Swift,The Way I Loved You,False
Taylor Swift,Forever & Always,False
Taylor Swift,The Best Day,False
Taylor Swift,Change,False
Taylor Swift,Fearless - Commentary,False
Taylor Swift,Fearless,False
Taylor Swift,Fifteen - Commentary,False
Taylor Swift,Fifteen,False
Taylor Swift,Love Story - Commentary,False
Taylor Swift,Love Story,False
Taylor Swift,Hey Stephen - Commentary,False
Taylor Swift,Hey Stephen,False
Taylor Swift,White Horse - Commentary,False
Taylor Swift,White Horse,False
Taylor Swift,You Belong With Me - Commentary,False
Taylor Swift,You Belong With Me,False
Taylor Swift,Breathe - Commentary,False
Taylor Swift,Breathe,False
Taylor Swift,Tell Me Why - Commentary,False
Taylor Swift,Tell Me Why,False
Taylor Swift,You're Not Sorry - Commentary,False
Taylor Swift,You're Not Sorry,False
Taylor Swift,The Way I Loved You - Commentary,False
Taylor Swift,The Way I Loved You,False
Taylor Swift,Forever & Always - Commentary,False
Taylor Swift,Forever & Always,False
Taylor Swift,The Best Day - Commentary,False
Taylor Swift,The Best Day,False
Taylor Swift,Change - Commentary,False
Taylor Swift,Change,False
